origin_zip_range,dest_zip_range,fedex_express_zone,fedex_ground_zone
00000-00399,00000-99999,NA,NA
00400-00499,00000-00399,NA,NA
00400-00499,00400-00599,2,2
00400-00499,00600-00799,*,NA
00400-00499,00800-00899,NA,NA
00400-00499,00900-00999,*,NA
00400-00499,01000-01399,2,2
00400-00499,01400-01499,3,3
00400-00499,01500-01899,2,2
00400-00499,01900-01999,3,3
00400-00499,02000-02499,2,2
00400-00499,02500-02699,3,3
00400-00499,02700-02999,2,2
00400-00499,03000-03399,3,3
00400-00499,03400-03499,2,2
00400-00499,03500-04399,3,3
00400-00499,04400-04499,4,4
00400-00499,04500-04599,3,3
00400-00499,04600-04999,4,4
00400-00499,05000-05199,3,3
00400-00499,05200-05399,2,2
00400-00499,05400-05499,3,3
00400-00499,05500-05599,2,2
00400-00499,05600-05999,3,3
00400-00499,06000-12799,2,2
00400-00499,12800-13699,3,3
00400-00499,13700-13999,2,2
00400-00499,14000-14299,3,3
00400-00499,14300-14399,4,4
00400-00499,14400-14999,3,3
00400-00499,15000-15499,4,4
00400-00499,15500-15599,3,3
00400-00499,15600-15699,4,4
00400-00499,15700-15999,3,3
00400-00499,16000-16299,4,4
00400-00499,16300-16399,3,3
00400-00499,16400-16599,4,4
00400-00499,16600-16999,3,3
00400-00499,17000-17299,2,2
00400-00499,17300-17499,3,3
00400-00499,17500-17699,2,2
00400-00499,17700-17799,3,3
00400-00499,17800-19999,2,2
00400-00499,20000-21899,3,3
00400-00499,21900-21999,2,2
00400-00499,22000-23899,3,3
00400-00499,23900-25399,4,4
00400-00499,25400-25499,3,3
00400-00499,25500-26699,4,4
00400-00499,26700-26799,3,3
00400-00499,26800-28899,4,4
00400-00499,28900-29299,5,5
00400-00499,29300-29399,4,4
00400-00499,29400-29499,5,5
00400-00499,29500-29799,4,4
00400-00499,29800-32499,5,5
00400-00499,32500-32599,6,6
00400-00499,32600-32999,5,5
00400-00499,33000-33499,6,6
00400-00499,33500-33699,5,5
00400-00499,33700-33799,6,6
00400-00499,33800-33899,5,5
00400-00499,33900-33999,6,6
00400-00499,34000-34099,5,5
00400-00499,34100-34199,6,6
00400-00499,34200-34799,5,5
00400-00499,34800-34899,NA,NA
00400-00499,34900-34999,6,6
00400-00499,35000-36499,5,5
00400-00499,36500-36699,6,6
00400-00499,36700-37599,5,5
00400-00499,37600-37699,4,4
00400-00499,37700-38699,5,5
00400-00499,38700-38799,6,6
00400-00499,38800-38999,5,5
00400-00499,39000-39299,6,6
00400-00499,39300-39399,5,5
00400-00499,39400-39699,6,6
00400-00499,39700-39799,5,5
00400-00499,39800-39899,NA,NA
00400-00499,39900-40299,5,5
00400-00499,40300-40699,4,4
00400-00499,40700-40999,5,5
00400-00499,41000-41899,4,4
00400-00499,41900-41999,NA,NA
00400-00499,42000-42799,5,5
00400-00499,42800-42999,NA,NA
00400-00499,43000-45999,4,4
00400-00499,46000-46699,5,5
00400-00499,46700-46899,4,4
00400-00499,46900-46999,5,5
00400-00499,47000-47099,4,4
00400-00499,47100-47299,5,5
00400-00499,47300-47399,4,4
00400-00499,47400-47999,5,5
00400-00499,48000-48999,4,4
00400-00499,49000-49199,5,5
00400-00499,49200-49299,4,4
00400-00499,49300-49999,5,5
00400-00499,50000-50399,6,6
00400-00499,50400-50499,5,5
00400-00499,50500-50599,6,6
00400-00499,50600-50799,5,5
00400-00499,50800-51699,6,6
00400-00499,51700-51999,NA,NA
00400-00499,52000-53999,5,5
00400-00499,54000-54099,6,6
00400-00499,54100-54999,5,5
00400-00499,55000-55599,6,6
00400-00499,55600-55999,5,5
00400-00499,56000-57699,6,6
00400-00499,57700-57799,7,7
00400-00499,57800-57999,NA,NA
00400-00499,58000-58599,6,6
00400-00499,58600-59399,7,7
00400-00499,59400-59999,8,8
00400-00499,60000-63999,5,5
00400-00499,64000-64999,6,6
00400-00499,65000-65299,5,5
00400-00499,65300-65399,6,6
00400-00499,65400-65599,5,5
00400-00499,65600-67699,6,6
00400-00499,67700-67999,7,7
00400-00499,68000-68999,6,6
00400-00499,69000-69099,7,7
00400-00499,69100-69299,6,6
00400-00499,69300-69399,7,7
00400-00499,69400-69999,NA,NA
00400-00499,70000-72299,6,6
00400-00499,72300-72499,5,5
00400-00499,72500-73299,6,6
00400-00499,73300-73399,7,7
00400-00499,73400-73899,6,6
00400-00499,73900-73999,7,7
00400-00499,74000-76299,6,6
00400-00499,76300-76399,7,7
00400-00499,76400-76499,6,6
00400-00499,76500-77299,7,7
00400-00499,77300-77399,6,6
00400-00499,77400-77599,7,7
00400-00499,77600-77799,6,6
00400-00499,77800-79799,7,7
00400-00499,79800-79999,8,8
00400-00499,80000-81299,7,7
00400-00499,81300-81399,8,8
00400-00499,81400-81499,7,7
00400-00499,81500-81599,8,8
00400-00499,81600-82099,7,7
00400-00499,82100-82199,8,8
00400-00499,82200-82899,7,7
00400-00499,82900-87499,8,8
00400-00499,87500-87799,7,7
00400-00499,87800-88099,8,8
00400-00499,88100-88499,7,7
00400-00499,88500-96699,8,96700
00400-00499,96701,10,9
00400-00499,96702-96705,12,9
00400-00499,96706-96707,10,9
00400-00499,96708,12,9
00400-00499,96709,10,9
00400-00499,96710,12,9
00400-00499,96711-96712,10,9
00400-00499,96713-96716,12,9
00400-00499,96717,10,9
00400-00499,96718-96729,12,9
00400-00499,96730-96731,10,9
00400-00499,96732-96733,12,9
00400-00499,96734,10,9
00400-00499,96735-96743,12,9
00400-00499,96744,10,9
00400-00499,96745-96757,12,9
00400-00499,96758-96759,10,9
00400-00499,96760-96761,12,9
00400-00499,96762,10,9
00400-00499,96763-96774,12,9
00400-00499,96775,10,9
00400-00499,96776-96781,12,9
00400-00499,96782,10,9
00400-00499,96783-96785,12,9
00400-00499,96786,10,9
00400-00499,96787-96788,12,9
00400-00499,96789,10,9
00400-00499,96790,12,9
00400-00499,96791-96792,10,9
00400-00499,96793,12,9
00400-00499,96794-96795,10,9
00400-00499,96796,12,9
00400-00499,96797,10,9
00400-00499,96798-96800,12,9
00400-00499,96801-96863,10,9
00400-00499,96864-96899,12,9
00400-00499,96900-96999,NA,NA
00400-00499,97000-99499,8,99500
00400-00499,99501-99524,9,17
00400-00499,99525-99539,11,17
00400-00499,99540,9,17
00400-00499,99541-99566,11,17
00400-00499,99567,9,17
00400-00499,99568-99576,11,17
00400-00499,99577,9,17
00400-00499,99578-99999,11,17
00500-00599,00000-00399,NA,NA
00500-00599,00400-00599,2,2
00500-00599,00600-00799,*,NA
00500-00599,00800-00899,NA,NA
00500-00599,00900-00999,*,NA
00500-00599,01000-01399,2,2
00500-00599,01400-01499,3,3
00500-00599,01500-01899,2,2
00500-00599,01900-01999,3,3
00500-00599,02000-02499,2,2
00500-00599,02500-02699,3,3
00500-00599,02700-02999,2,2
00500-00599,03000-03399,3,3
00500-00599,03400-03499,2,2
00500-00599,03500-04399,3,3
00500-00599,04400-04499,4,4
00500-00599,04500-04599,3,3
00500-00599,04600-04999,4,4
00500-00599,05000-05199,3,3
00500-00599,05200-05399,2,2
00500-00599,05400-05499,3,3
00500-00599,05500-05599,2,2
00500-00599,05600-05999,3,3
00500-00599,06000-12799,2,2
00500-00599,12800-13699,3,3
00500-00599,13700-13999,2,2
00500-00599,14000-14299,3,3
00500-00599,14300-14399,4,4
00500-00599,14400-14999,3,3
00500-00599,15000-15499,4,4
00500-00599,15500-15599,3,3
00500-00599,15600-15699,4,4
00500-00599,15700-15999,3,3
00500-00599,16000-16299,4,4
00500-00599,16300-16399,3,3
00500-00599,16400-16599,4,4
00500-00599,16600-16999,3,3
00500-00599,17000-17299,2,2
00500-00599,17300-17499,3,3
00500-00599,17500-17699,2,2
00500-00599,17700-17799,3,3
00500-00599,17800-19999,2,2
00500-00599,20000-21899,3,3
00500-00599,21900-21999,2,2
00500-00599,22000-23899,3,3
00500-00599,23900-25399,4,4
00500-00599,25400-25499,3,3
00500-00599,25500-26699,4,4
00500-00599,26700-26799,3,3
00500-00599,26800-28899,4,4
00500-00599,28900-29299,5,5
00500-00599,29300-29399,4,4
00500-00599,29400-29499,5,5
00500-00599,29500-29799,4,4
00500-00599,29800-32499,5,5
00500-00599,32500-32599,6,6
00500-00599,32600-32999,5,5
00500-00599,33000-33499,6,6
00500-00599,33500-33699,5,5
00500-00599,33700-33799,6,6
00500-00599,33800-33899,5,5
00500-00599,33900-33999,6,6
00500-00599,34000-34099,5,5
00500-00599,34100-34199,6,6
00500-00599,34200-34799,5,5
00500-00599,34800-34899,NA,NA
00500-00599,34900-34999,6,6
00500-00599,35000-36499,5,5
00500-00599,36500-36699,6,6
00500-00599,36700-37599,5,5
00500-00599,37600-37699,4,4
00500-00599,37700-38699,5,5
00500-00599,38700-38799,6,6
00500-00599,38800-38999,5,5
00500-00599,39000-39299,6,6
00500-00599,39300-39399,5,5
00500-00599,39400-39699,6,6
00500-00599,39700-40299,5,5
00500-00599,40300-40699,4,4
00500-00599,40700-40999,5,5
00500-00599,41000-41899,4,4
00500-00599,41900-41999,NA,NA
00500-00599,42000-42799,5,5
00500-00599,42800-42999,NA,NA
00500-00599,43000-45999,4,4
00500-00599,46000-46699,5,5
00500-00599,46700-46899,4,4
00500-00599,46900-46999,5,5
00500-00599,47000-47099,4,4
00500-00599,47100-47299,5,5
00500-00599,47300-47399,4,4
00500-00599,47400-47999,5,5
00500-00599,48000-48999,4,4
00500-00599,49000-49199,5,5
00500-00599,49200-49299,4,4
00500-00599,49300-49999,5,5
00500-00599,50000-50399,6,6
00500-00599,50400-50499,5,5
00500-00599,50500-50599,6,6
00500-00599,50600-50799,5,5
00500-00599,50800-51699,6,6
00500-00599,51700-51999,NA,NA
00500-00599,52000-53999,5,5
00500-00599,54000-54099,6,6
00500-00599,54100-54999,5,5
00500-00599,55000-55599,6,6
00500-00599,55600-55999,5,5
00500-00599,56000-57699,6,6
00500-00599,57700-57799,7,7
00500-00599,57800-57999,NA,NA
00500-00599,58000-58599,6,6
00500-00599,58600-59399,7,7
00500-00599,59400-59999,8,8
00500-00599,60000-63999,5,5
00500-00599,64000-64999,6,6
00500-00599,65000-65299,5,5
00500-00599,65300-65399,6,6
00500-00599,65400-65599,5,5
00500-00599,65600-67699,6,6
00500-00599,67700-67999,7,7
00500-00599,68000-68999,6,6
00500-00599,69000-69099,7,7
00500-00599,69100-69299,6,6
00500-00599,69300-69399,7,7
00500-00599,69400-69999,NA,NA
00500-00599,70000-72299,6,6
00500-00599,72300-72499,5,5
00500-00599,72500-73299,6,6
00500-00599,73300-73399,7,7
00500-00599,73400-73899,6,6
00500-00599,73900-73999,7,7
00500-00599,74000-76299,6,6
00500-00599,76300-76399,7,7
00500-00599,76400-76499,6,6
00500-00599,76500-77299,7,7
00500-00599,77300-77399,6,6
00500-00599,77400-77599,7,7
00500-00599,77600-77799,6,6
00500-00599,77800-79799,7,7
00500-00599,79800-79999,8,8
00500-00599,80000-81299,7,7
00500-00599,81300-81399,8,8
00500-00599,81400-81499,7,7
00500-00599,81500-81599,8,8
00500-00599,81600-82099,7,7
00500-00599,82100-82199,8,8
00500-00599,82200-82899,7,7
00500-00599,82900-87499,8,8
00500-00599,87500-87799,7,7
00500-00599,87800-88099,8,8
00500-00599,88100-88499,7,7
00500-00599,88500-96699,8,96700
00500-00599,96701,10,9
00500-00599,96702-96705,12,9
00500-00599,96706-96707,10,9
00500-00599,96708,12,9
00500-00599,96709,10,9
00500-00599,96710,12,9
00500-00599,96711-96712,10,9
00500-00599,96713-96716,12,9
00500-00599,96717,10,9
00500-00599,96718-96729,12,9
00500-00599,96730-96731,10,9
00500-00599,96732-96733,12,9
00500-00599,96734,10,9
00500-00599,96735-96743,12,9
00500-00599,96744,10,9
00500-00599,96745-96757,12,9
00500-00599,96758-96759,10,9
00500-00599,96760-96761,12,9
00500-00599,96762,10,9
00500-00599,96763-96774,12,9
00500-00599,96775,10,9
00500-00599,96776-96781,12,9
00500-00599,96782,10,9
00500-00599,96783-96785,12,9
00500-00599,96786,10,9
00500-00599,96787-96788,12,9
00500-00599,96789,10,9
