Category2,Total Volume,Total CPP,Total Cost,Row Count
Other Admin,680.000000,23.111926,15716.110000,680
Base Freight,575.000000,57.924487,33306.580000,575
Miscellaneous,149.000000,140.541678,20940.710000,149
UNMAPPED,133.000000,256.691128,34139.920000,133
Fuel Surcharge,84.000000,37.312619,3134.260000,84
Area Surcharge,80.000000,4.642625,371.410000,80
Residential Surcharge,67.000000,3.138209,210.260000,67
Handling,59.000000,34.138136,2014.150000,59
Returns,45.000000,6.005556,270.250000,45
Peak/Demand,38.000000,6.181579,234.900000,38
International,34.000000,76.937353,2615.870000,34
LTL / Hundredweight,34.000000,7.548529,256.650000,34
Large Package,3.000000,246.500000,739.500000,3
