source_file,invoice_number,Sender company_name,Charge Classification Code,Charge Category Code,Net Amount,Volume Units,Billed Weight Lbs,Zone,Mode,Weight Bucket,Weight Bucket Sort,charge_description_raw,charge_description_ups,Charge Description,mapping_status,transportation_mode,category_1,category_2,category_3,category_4,category_5
Invoice_2054533994_011526.csv,2054533994,Club Colors,SHP,IMP,3.000000,1,3.000000,51,Ground,2-5 lbs,2,Ground,Ground,Ground Commercial,MAPPED,Parcel,Base Freight,Base Freight,Base Freight,Ground,Ground Commercial
Invoice_2054533994_011526.csv,2054533994,Club Colors,SHP,IMP,426.000000,1,0.000000,51,Ground,0-1 lbs,1,Brokerage GST,Brokerage GST,UNMAPPED,UNMAPPED,,,,,,
Invoice_2054533994_011526.csv,2054533994,Club Colors,SHP,IMP,405.000000,1,0.000000,51,Ground,0-1 lbs,1,Disbursement Fee,Disbursement Fee,UNMAPPED,UNMAPPED,,,,,,
Invoice_2054533994_011526.csv,2054533994,Club Colors,SHP,IMP,404.000000,1,0.000000,51,Ground,0-1 lbs,1,Entry Prep Fee,Entry Prep Fee,UNMAPPED,UNMAPPED,,,,,,
Invoice_2054533994_011526.csv,2054533994,Club Colors,SHP,IMP,214.000000,1,0.000000,51,Ground,0-1 lbs,1,Ca Customs Hst,Ca Customs Hst,UNMAPPED,UNMAPPED,,,,,,
Invoice_2054533994_011526.csv,2054533994,Club Colors,SHP,IMP,201.000000,1,0.000000,51,Ground,0-1 lbs,1,Duty Amount,Duty Amount,UNMAPPED,UNMAPPED,,,,,,
Invoice_2054533994_011526.csv,2054533994,Club Colors,SHP,IMP,0.000000,1,0.000000,51,Ground,0-1 lbs,1,,,UNMAPPED,UNMAPPED,,,,,,
Invoice_2054533994_011526.csv,2054533994,Club Colors,SHP,IMP,206.000000,1,0.000000,51,Ground,0-1 lbs,1,Customs Gst,Customs Gst,UNMAPPED,UNMAPPED,,,,,,
Invoice_2055831633_011926.csv,2055831633,Club Colors,SHP,IMP,3.000000,1,2.000000,53,Ground,2-5 lbs,2,Ground,Ground,Ground Commercial,MAPPED,Parcel,Base Freight,Base Freight,Base Freight,Ground,Ground Commercial
Invoice_2055831633_011926.csv,2055831633,Club Colors,SHP,IMP,426.000000,1,0.000000,53,Ground,0-1 lbs,1,Brokerage GST,Brokerage GST,UNMAPPED,UNMAPPED,,,,,,
Invoice_2055831633_011926.csv,2055831633,Club Colors,SHP,IMP,405.000000,1,0.000000,53,Ground,0-1 lbs,1,Disbursement Fee,Disbursement Fee,UNMAPPED,UNMAPPED,,,,,,
Invoice_2055831633_011926.csv,2055831633,Club Colors,SHP,IMP,404.000000,1,0.000000,53,Ground,0-1 lbs,1,Entry Prep Fee,Entry Prep Fee,UNMAPPED,UNMAPPED,,,,,,
Invoice_2055831633_011926.csv,2055831633,Club Colors,SHP,IMP,235.000000,1,0.000000,53,Ground,0-1 lbs,1,Ca British Columbia Pst,Ca British Columbia Pst,UNMAPPED,UNMAPPED,,,,,,
Invoice_2055831633_011926.csv,2055831633,Club Colors,SHP,IMP,206.000000,1,0.000000,53,Ground,0-1 lbs,1,Customs Gst,Customs Gst,UNMAPPED,UNMAPPED,,,,,,
Invoice_2055831633_011926.csv,2055831633,Club Colors,SHP,IMP,201.000000,1,0.000000,53,Ground,0-1 lbs,1,Duty Amount,Duty Amount,UNMAPPED,UNMAPPED,,,,,,
Invoice_2055831633_011926.csv,2055831633,Club Colors,SHP,IMP,0.000000,1,0.000000,53,Ground,0-1 lbs,1,,,UNMAPPED,UNMAPPED,,,,,,
Invoice_2055831633_011926.csv,2055831633,Club Colors,SHP,IMP,217.000000,1,0.000000,53,Ground,0-1 lbs,1,Pst Quebec,Pst Quebec,UNMAPPED,UNMAPPED,,,,,,
Invoice_2058550735_012126.csv,2058550735,Club Colors,SHP,IMP,3.000000,1,2.000000,56,Ground,2-5 lbs,2,Ground,Ground,Ground Commercial,MAPPED,Parcel,Base Freight,Base Freight,Base Freight,Ground,Ground Commercial
Invoice_2058550735_012126.csv,2058550735,Club Colors,SHP,IMP,426.000000,1,0.000000,56,Ground,0-1 lbs,1,Brokerage GST,Brokerage GST,UNMAPPED,UNMAPPED,,,,,,
Invoice_2058550735_012126.csv,2058550735,Club Colors,SHP,IMP,405.000000,1,0.000000,56,Ground,0-1 lbs,1,Disbursement Fee,Disbursement Fee,UNMAPPED,UNMAPPED,,,,,,
Invoice_2058550735_012126.csv,2058550735,Club Colors,SHP,IMP,404.000000,1,0.000000,56,Ground,0-1 lbs,1,Entry Prep Fee,Entry Prep Fee,UNMAPPED,UNMAPPED,,,,,,
Invoice_2058550735_012126.csv,2058550735,Club Colors,SHP,IMP,206.000000,1,0.000000,56,Ground,0-1 lbs,1,Customs Gst,Customs Gst,UNMAPPED,UNMAPPED,,,,,,
Invoice_2058550735_012126.csv,2058550735,Club Colors,SHP,IMP,201.000000,1,0.000000,56,Ground,0-1 lbs,1,Duty Amount,Duty Amount,UNMAPPED,UNMAPPED,,,,,,
Invoice_2058550735_012126.csv,2058550735,Club Colors,SHP,IMP,0.000000,1,0.000000,56,Ground,0-1 lbs,1,,,UNMAPPED,UNMAPPED,,,,,,
Invoice_2058550735_012126.csv,2058550735,Club Colors,SHP,IMP,214.000000,1,0.000000,51,Ground,0-1 lbs,1,Ca Customs Hst,Ca Customs Hst,UNMAPPED,UNMAPPED,,,,,,
Invoice_2058550735_012126.csv,2058550735,Club Colors,SHP,IMP,218.000000,1,0.000000,51,Ground,0-1 lbs,1,Pst Manitoba,Pst Manitoba,UNMAPPED,UNMAPPED,,,,,,
Invoice_2060865230_012326.csv,2060865230,Club Colors,SHP,IMP,3.000000,1,2.000000,51,Ground,2-5 lbs,2,Ground,Ground,Ground Commercial,MAPPED,Parcel,Base Freight,Base Freight,Base Freight,Ground,Ground Commercial
Invoice_2060865230_012326.csv,2060865230,Club Colors,SHP,IMP,426.000000,1,0.000000,51,Ground,0-1 lbs,1,Brokerage GST,Brokerage GST,UNMAPPED,UNMAPPED,,,,,,
Invoice_2060865230_012326.csv,2060865230,Club Colors,SHP,IMP,405.000000,1,0.000000,51,Ground,0-1 lbs,1,Disbursement Fee,Disbursement Fee,UNMAPPED,UNMAPPED,,,,,,
Invoice_2060865230_012326.csv,2060865230,Club Colors,SHP,IMP,404.000000,1,0.000000,51,Ground,0-1 lbs,1,Entry Prep Fee,Entry Prep Fee,UNMAPPED,UNMAPPED,,,,,,
Invoice_2060865230_012326.csv,2060865230,Club Colors,SHP,IMP,214.000000,1,0.000000,51,Ground,0-1 lbs,1,Ca Customs Hst,Ca Customs Hst,UNMAPPED,UNMAPPED,,,,,,
Invoice_2060865230_012326.csv,2060865230,Club Colors,SHP,IMP,201.000000,1,0.000000,51,Ground,0-1 lbs,1,Duty Amount,Duty Amount,UNMAPPED,UNMAPPED,,,,,,
