charge_description_raw,occurrences
Duty Amount,57
Entry Prep Fee,51
Brokerage GST,50
Disbursement Fee,45
Customs Gst,27
Ca Customs Hst,24
Freight,9
Ca British Columbia Pst,7
DOCUMENT INTEGRITY,6
International Processing Fee,4
3-Day Select,3
PGA Disclaim Fee,3
Returns / Undeliverables,3
WW Express Plus,3
PGA Processing Fee,2
Pst Manitoba,2
Pst Quebec,2
Entry Line Charge,1
Late Payment Fee,1
Merchandise Processing Fee,1
Residential Delivery Surcharge,1
Sima,1
Warehouse Fees,1
